university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
Illinois State University,2026,IL,,145813.0,Innovation-Forward,618,1,6,1,0,0.0016181229773462784,0.009708737864077669,0.0016181229773462784,0.0,0.009708737864077669,0.0016181229773462784,0.008090614886731391
Seattle University,2026,WA,,236595.0,Restrictive / Compliance-Driven,2091,25,21,6,0,0.011956001912960305,0.010043041606886656,0.0028694404591104736,0.0,0.011956001912960305,0.010043041606886656,0.001912960306073649
University of Rhode Island,2026,RI,,217484.0,Restrictive / Compliance-Driven,352,2,2,1,0,0.005681818181818182,0.005681818181818182,0.002840909090909091,0.0,0.005681818181818182,0.005681818181818182,0.0
University of Massachusetts Lowell,2026,,,,Innovation-Forward,374,0,2,2,0,0.0,0.0053475935828877,0.0053475935828877,0.0,0.0053475935828877,0.0053475935828877,0.0
University of Louisville,2026,KY,,,Administrative Risk-Management,503,2,2,3,0,0.003976143141153081,0.003976143141153081,0.005964214711729622,0.0,0.005964214711729622,0.003976143141153081,0.001988071570576541
Rowan University,2026,NJ,,,Restrictive / Compliance-Driven,1410,9,5,0,0,0.006382978723404255,0.0035460992907801418,0.0,0.0,0.006382978723404255,0.0035460992907801418,0.0028368794326241132
University of Hawaii Manoa,2026,HI,,,Innovation-Forward,261,3,5,1,0,0.011494252873563218,0.019157088122605363,0.0038314176245210726,0.0,0.019157088122605363,0.011494252873563218,0.007662835249042144
Wayne State University,2026,MI,,,Administrative Risk-Management,1157,0,1,4,0,0.0,0.000864304235090752,0.003457216940363008,0.0,0.003457216940363008,0.000864304235090752,0.0025929127052722557
California State University Fresno,2026,CA,,,Innovation-Forward,1067,10,15,1,0,0.00937207122774133,0.014058106841611996,0.0009372071227741331,0.0,0.014058106841611996,0.00937207122774133,0.004686035613870666
Florida Atlantic University,2024,FL,,,Restrictive / Compliance-Driven,1067,2,1,0,0,0.0018744142455482662,0.0009372071227741331,0.0,0.0,0.0018744142455482662,0.0009372071227741331,0.0009372071227741331
University of Detroit Mercy,2026,MI,,,Innovation-Forward,701,13,14,0,1,0.018544935805991442,0.019971469329529243,0.0,0.0014265335235378032,0.019971469329529243,0.018544935805991442,0.0014265335235378006
